GICS Sector,ticker,open,closed,high,low,index,time_span,time_value,start_date
Industrials,AXON,,,,,,,,
Energy,BKR,,,,,,,,
Materials,BALL,,,,,,,,
Financials,BAC,,,,,,,,
Financials,BK,,,,,,,,
Consumer Discretionary,BBWI,,,,,,,,
Health Care,BAX,,,,,,,,
Health Care,BDX,,,,,,,,
Financials,BRK.B,,,,,,,,
Consumer Discretionary,BBY,,,,,,,,
Health Care,BIO,,,,,,,,
Health Care,TECH,,,,,,,,
Health Care,BIIB,,,,,,,,
Financials,BLK,,,,,,,,
Financials,BX,,,,,,,,
Industrials,BA,,,,,,,,
Consumer Discretionary,BKNG,,,,,,,,
Consumer Discretionary,BWA,,,,,,,,
Real Estate,BXP,,,,,,,,
Health Care,BSX,,,,,,,,
Health Care,BMY,,,,,,,,
Information Technology,AVGO,,,,,,,,
Industrials,BR,,,,,,,,
Financials,BRO,,,,,,,,
Consumer Staples,BF.B,,,,,,,,
Industrials,BLDR,,,,,,,,
Consumer Staples,BG,,,,,,,,
Information Technology,CDNS,,,,,,,,
Consumer Discretionary,CZR,,,,,,,,
Real Estate,CPT,,,,,,,,
Consumer Staples,CPB,,,,,,,,
Financials,COF,,,,,,,,
Health Care,CAH,,,,,,,,
Consumer Discretionary,KMX,,,,,,,,
Consumer Discretionary,CCL,,,,,,,,
Industrials,CARR,,,,,,,,
Health Care,CTLT,,,,,,,,
Industrials,CAT,,,,,,,,
Financials,CBOE,,,,,,,,
Real Estate,CBRE,,,,,,,,
Information Technology,CDW,,,,,,,,
Materials,CE,,,,,,,,
Health Care,COR,,,,,,,,
Health Care,CNC,,,,,,,,
Utilities,CNP,,,,,,,,
Materials,CF,,,,,,,,
Industrials,CHRW,,,,,,,,
Health Care,CRL,,,,,,,,
Financials,SCHW,,,,,,,,
Communication Services,CHTR,,,,,,,,
Energy,CVX,,,,,,,,
Consumer Discretionary,CMG,,,,,,,,
Financials,CB,,,,,,,,
Consumer Staples,CHD,,,,,,,,
Health Care,CI,,,,,,,,
Financials,CINF,,,,,,,,
Industrials,CTAS,,,,,,,,
Information Technology,CSCO,,,,,,,,
Financials,C,,,,,,,,
Financials,CFG,,,,,,,,
Consumer Staples,CLX,,,,,,,,
Financials,CME,,,,,,,,
Utilities,CMS,,,,,,,,
Consumer Staples,KO,,,,,,,,
Information Technology,CTSH,,,,,,,,
Consumer Staples,CL,,,,,,,,
Communication Services,CMCSA,,,,,,,,
Financials,CMA,,,,,,,,
Consumer Staples,CAG,,,,,,,,
Energy,COP,,,,,,,,
Utilities,ED,,,,,,,,
Consumer Staples,STZ,,,,,,,,
Utilities,CEG,,,,,,,,
Health Care,COO,,,,,,,,
Industrials,CPRT,,,,,,,,
Information Technology,GLW,,,,,,,,
Materials,CTVA,,,,,,,,
Real Estate,CSGP,,,,,,,,
Consumer Staples,COST,,,,,,,,
Energy,CTRA,,,,,,,,
Real Estate,CCI,,,,,,,,
Industrials,CSX,,,,,,,,
Industrials,CMI,,,,,,,,
Health Care,CVS,,,,,,,,
Health Care,DHR,,,,,,,,
Consumer Discretionary,DRI,,,,,,,,
Health Care,DVA,,,,,,,,
Industrials,DAY,,,,,,,,
Consumer Discretionary,DECK,,,,,,,,
Industrials,DE,,,,,,,,
Industrials,DAL,,,,,,,,
Health Care,XRAY,,,,,,,,
Energy,DVN,,,,,,,,
Health Care,DXCM,,,,,,,,
Energy,FANG,,,,,,,,
Real Estate,DLR,,,,,,,,
Financials,DFS,,,,,,,,
Consumer Staples,DG,,,,,,,,
Consumer Staples,DLTR,,,,,,,,
Utilities,D,,,,,,,,
Consumer Discretionary,DPZ,,,,,,,,
Industrials,DOV,,,,,,,,
Materials,DOW,,,,,,,,
Consumer Discretionary,DHI,,,,,,,,
Utilities,DTE,,,,,,,,
Utilities,DUK,,,,,,,,
Materials,DD,,,,,,,,
Materials,EMN,,,,,,,,
Industrials,ETN,,,,,,,,
Consumer Discretionary,EBAY,,,,,,,,
Materials,ECL,,,,,,,,
Utilities,EIX,,,,,,,,
Health Care,EW,,,,,,,,
Communication Services,EA,,,,,,,,
Health Care,ELV,,,,,,,,
Health Care,LLY,,,,,,,,
Industrials,EMR,,,,,,,,
Information Technology,ENPH,,,,,,,,
Utilities,ETR,,,,,,,,
Energy,EOG,,,,,,,,
Information Technology,EPAM,,,,,,,,
Energy,EQT,,,,,,,,
Industrials,EFX,,,,,,,,
Real Estate,EQIX,,,,,,,,
Real Estate,EQR,,,,,,,,
Real Estate,ESS,,,,,,,,
Consumer Staples,EL,,,,,,,,
Consumer Discretionary,ETSY,,,,,,,,
Financials,EG,,,,,,,,
Utilities,EVRG,,,,,,,,
Utilities,ES,,,,,,,,
Utilities,EXC,,,,,,,,
Consumer Discretionary,EXPE,,,,,,,,
Industrials,EXPD,,,,,,,,
Real Estate,EXR,,,,,,,,
Energy,XOM,,,,,,,,
Information Technology,FFIV,,,,,,,,
Financials,FDS,,,,,,,,
Information Technology,FICO,,,,,,,,
Industrials,FAST,,,,,,,,
Real Estate,FRT,,,,,,,,
Industrials,FDX,,,,,,,,
Financials,FIS,,,,,,,,
Financials,FITB,,,,,,,,
Information Technology,FSLR,,,,,,,,
Utilities,FE,,,,,,,,
Financials,FI,,,,,,,,
Financials,FLT,,,,,,,,
Materials,FMC,,,,,,,,
Consumer Discretionary,F,,,,,,,,
Information Technology,FTNT,,,,,,,,
Industrials,FTV,,,,,,,,
Communication Services,FOXA,,,,,,,,
Communication Services,FOX,,,,,,,,
Financials,BEN,,,,,,,,
Materials,FCX,,,,,,,,
Consumer Discretionary,GRMN,,,,,,,,
Information Technology,IT,,,,,,,,
Health Care,GEHC,,,,,,,,
Information Technology,GEN,,,,,,,,
Industrials,GNRC,,,,,,,,
Industrials,GD,,,,,,,,
Industrials,GE,,,,,,,,
Consumer Staples,GIS,,,,,,,,
Consumer Discretionary,GM,,,,,,,,
Consumer Discretionary,GPC,,,,,,,,
Health Care,GILD,,,,,,,,
Financials,GPN,,,,,,,,
Financials,GL,,,,,,,,
Financials,GS,,,,,,,,
Energy,HAL,,,,,,,,
Financials,HIG,,,,,,,,
Consumer Discretionary,HAS,,,,,,,,
Health Care,HCA,,,,,,,,
Real Estate,DOC,,,,,,,,
Health Care,HSIC,,,,,,,,
Consumer Staples,HSY,,,,,,,,
Energy,HES,,,,,,,,
Information Technology,HPE,,,,,,,,
Consumer Discretionary,HLT,,,,,,,,
Health Care,HOLX,,,,,,,,
Consumer Discretionary,HD,,,,,,,,
Industrials,HON,,,,,,,,
Consumer Staples,HRL,,,,,,,,
Real Estate,HST,,,,,,,,
Industrials,HWM,,,,,,,,
Information Technology,HPQ,,,,,,,,
Industrials,HUBB,,,,,,,,
Health Care,HUM,,,,,,,,
Financials,HBAN,,,,,,,,
Industrials,HII,,,,,,,,
Information Technology,IBM,,,,,,,,
Industrials,IEX,,,,,,,,
Health Care,IDXX,,,,,,,,
Industrials,ITW,,,,,,,,
Health Care,ILMN,,,,,,,,
Health Care,INCY,,,,,,,,
Industrials,IR,,,,,,,,
Health Care,PODD,,,,,,,,
Information Technology,INTC,,,,,,,,
Financials,ICE,,,,,,,,
Materials,IFF,,,,,,,,
Materials,IP,,,,,,,,
Communication Services,IPG,,,,,,,,
Information Technology,INTU,,,,,,,,
Health Care,ISRG,,,,,,,,
Financials,IVZ,,,,,,,,
Real Estate,INVH,,,,,,,,
Health Care,IQV,,,,,,,,
Real Estate,IRM,,,,,,,,
Industrials,JBHT,,,,,,,,
Information Technology,JBL,,,,,,,,
Financials,JKHY,,,,,,,,
Industrials,J,,,,,,,,
Health Care,JNJ,,,,,,,,
Industrials,JCI,,,,,,,,
Financials,JPM,,,,,,,,
Information Technology,JNPR,,,,,,,,
Consumer Staples,K,,,,,,,,
Consumer Staples,KVUE,,,,,,,,
Consumer Staples,KDP,,,,,,,,
Financials,KEY,,,,,,,,
Information Technology,KEYS,,,,,,,,
Consumer Staples,KMB,,,,,,,,
Real Estate,KIM,,,,,,,,
Energy,KMI,,,,,,,,
Information Technology,KLAC,,,,,,,,
Consumer Staples,KHC,,,,,,,,
Consumer Staples,KR,,,,,,,,
Industrials,LHX,,,,,,,,
Health Care,LH,,,,,,,,
Information Technology,LRCX,,,,,,,,
Consumer Staples,LW,,,,,,,,
Consumer Discretionary,LVS,,,,,,,,
Industrials,LDOS,,,,,,,,
Consumer Discretionary,LEN,,,,,,,,
Materials,LIN,,,,,,,,
Communication Services,LYV,,,,,,,,
Consumer Discretionary,LKQ,,,,,,,,
Industrials,LMT,,,,,,,,
Financials,L,,,,,,,,
Consumer Discretionary,LOW,,,,,,,,
Consumer Discretionary,LULU,,,,,,,,
Materials,LYB,,,,,,,,
Financials,MTB,,,,,,,,
Energy,MRO,,,,,,,,
Energy,MPC,,,,,,,,
Financials,MKTX,,,,,,,,
Consumer Discretionary,MAR,,,,,,,,
Financials,MMC,,,,,,,,
Materials,MLM,,,,,,,,
Industrials,MAS,,,,,,,,
Financials,MA,,,,,,,,
Communication Services,MTCH,,,,,,,,
Consumer Staples,MKC,,,,,,,,
Consumer Discretionary,MCD,,,,,,,,
Health Care,MCK,,,,,,,,
Health Care,MDT,,,,,,,,
Health Care,MRK,,,,,,,,
Communication Services,META,,,,,,,,
Financials,MET,,,,,,,,
Health Care,MTD,,,,,,,,
Consumer Discretionary,MGM,,,,,,,,
Information Technology,MCHP,,,,,,,,
Information Technology,MU,,,,,,,,
Information Technology,MSFT,,,,,,,,
Real Estate,MAA,,,,,,,,
Health Care,MRNA,,,,,,,,
Consumer Discretionary,MHK,,,,,,,,
Health Care,MOH,,,,,,,,
Consumer Staples,TAP,,,,,,,,
Consumer Staples,MDLZ,,,,,,,,
Information Technology,MPWR,,,,,,,,
Consumer Staples,MNST,,,,,,,,
Financials,MCO,,,,,,,,
Financials,MS,,,,,,,,
Materials,MOS,,,,,,,,
Information Technology,MSI,,,,,,,,
Financials,MSCI,,,,,,,,
Financials,NDAQ,,,,,,,,
Information Technology,NTAP,,,,,,,,
Communication Services,NFLX,,,,,,,,
Materials,NEM,,,,,,,,
Communication Services,NWSA,,,,,,,,
Communication Services,NWS,,,,,,,,
Utilities,NEE,,,,,,,,
Consumer Discretionary,NKE,,,,,,,,
Utilities,NI,,,,,,,,
Industrials,NDSN,,,,,,,,
Industrials,NSC,,,,,,,,
Financials,NTRS,,,,,,,,
Industrials,NOC,,,,,,,,
Consumer Discretionary,NCLH,,,,,,,,
Utilities,NRG,,,,,,,,
Materials,NUE,,,,,,,,
Information Technology,NVDA,,,,,,,,
Consumer Discretionary,NVR,,,,,,,,
Information Technology,NXPI,,,,,,,,
Consumer Discretionary,ORLY,,,,,,,,
Energy,OXY,,,,,,,,
Industrials,ODFL,,,,,,,,
Communication Services,OMC,,,,,,,,
Information Technology,ON,,,,,,,,
Energy,OKE,,,,,,,,
Information Technology,ORCL,,,,,,,,
Industrials,OTIS,,,,,,,,
Industrials,PCAR,,,,,,,,
Materials,PKG,,,,,,,,
Information Technology,PANW,,,,,,,,
Communication Services,PARA,,,,,,,,
Industrials,PH,,,,,,,,
Industrials,PAYX,,,,,,,,
Industrials,PAYC,,,,,,,,
Financials,PYPL,,,,,,,,
Industrials,PNR,,,,,,,,
Consumer Staples,PEP,,,,,,,,
Health Care,PFE,,,,,,,,
Utilities,PCG,,,,,,,,
Consumer Staples,PM,,,,,,,,
Energy,PSX,,,,,,,,
Utilities,PNW,,,,,,,,
Energy,PXD,,,,,,,,
Financials,PNC,,,,,,,,
Consumer Discretionary,POOL,,,,,,,,
Materials,PPG,,,,,,,,
Utilities,PPL,,,,,,,,
Financials,PFG,,,,,,,,
Consumer Staples,PG,,,,,,,,
Financials,PGR,,,,,,,,
Real Estate,PLD,,,,,,,,
Financials,PRU,,,,,,,,
Utilities,PEG,,,,,,,,
Information Technology,PTC,,,,,,,,
Real Estate,PSA,,,,,,,,
Consumer Discretionary,PHM,,,,,,,,
Information Technology,QRVO,,,,,,,,
Industrials,PWR,,,,,,,,
Information Technology,QCOM,,,,,,,,
Health Care,DGX,,,,,,,,
Consumer Discretionary,RL,,,,,,,,
Financials,RJF,,,,,,,,
Industrials,RTX,,,,,,,,
Real Estate,O,,,,,,,,
Real Estate,REG,,,,,,,,
Health Care,REGN,,,,,,,,
Financials,RF,,,,,,,,
Industrials,RSG,,,,,,,,
Health Care,RMD,,,,,,,,
Health Care,RVTY,,,,,,,,
Industrials,RHI,,,,,,,,
Industrials,ROK,,,,,,,,
Industrials,ROL,,,,,,,,
Information Technology,ROP,,,,,,,,
Consumer Discretionary,ROST,,,,,,,,
Consumer Discretionary,RCL,,,,,,,,
Financials,SPGI,,,,,,,,
Information Technology,CRM,,,,,,,,
Real Estate,SBAC,,,,,,,,
Energy,SLB,,,,,,,,
Information Technology,STX,,,,,,,,
Utilities,SRE,,,,,,,,
Information Technology,NOW,,,,,,,,
Materials,SHW,,,,,,,,
Real Estate,SPG,,,,,,,,
Information Technology,SWKS,,,,,,,,
Consumer Staples,SJM,,,,,,,,
Industrials,SNA,,,,,,,,
Utilities,SO,,,,,,,,
Industrials,LUV,,,,,,,,
Industrials,SWK,,,,,,,,
Consumer Discretionary,SBUX,,,,,,,,
Financials,STT,,,,,,,,
Materials,STLD,,,,,,,,
Health Care,STE,,,,,,,,
Health Care,SYK,,,,,,,,
Information Technology,SMCI,,,,,,,,
Financials,SYF,,,,,,,,
Information Technology,SNPS,,,,,,,,
Consumer Staples,SYY,,,,,,,,
Communication Services,TMUS,,,,,,,,
Financials,TROW,,,,,,,,
Communication Services,TTWO,,,,,,,,
Consumer Discretionary,TPR,,,,,,,,
Energy,TRGP,,,,,,,,
Consumer Staples,TGT,,,,,,,,
Information Technology,TEL,,,,,,,,
Information Technology,TDY,,,,,,,,
Health Care,TFX,,,,,,,,
Information Technology,TER,,,,,,,,
Consumer Discretionary,TSLA,,,,,,,,
Information Technology,TXN,,,,,,,,
Industrials,TXT,,,,,,,,
Health Care,TMO,,,,,,,,
Consumer Discretionary,TJX,,,,,,,,
Consumer Discretionary,TSCO,,,,,,,,
Industrials,TT,,,,,,,,
Industrials,TDG,,,,,,,,
Financials,TRV,,,,,,,,
Information Technology,TRMB,,,,,,,,
Financials,TFC,,,,,,,,
Information Technology,TYL,,,,,,,,
Consumer Staples,TSN,,,,,,,,
Financials,USB,,,,,,,,
Industrials,UBER,,,,,,,,
Real Estate,UDR,,,,,,,,
Consumer Discretionary,ULTA,,,,,,,,
Industrials,UNP,,,,,,,,
Industrials,UAL,,,,,,,,
Industrials,UPS,,,,,,,,
Industrials,URI,,,,,,,,
Health Care,UNH,,,,,,,,
Health Care,UHS,,,,,,,,
Energy,VLO,,,,,,,,
Real Estate,VTR,,,,,,,,
Industrials,VLTO,,,,,,,,
Information Technology,VRSN,,,,,,,,
Industrials,VRSK,,,,,,,,
Communication Services,VZ,,,,,,,,
Health Care,VRTX,,,,,,,,
Consumer Discretionary,VFC,,,,,,,,
Health Care,VTRS,,,,,,,,
Real Estate,VICI,,,,,,,,
Financials,V,,,,,,,,
Materials,VMC,,,,,,,,
Financials,WRB,,,,,,,,
Industrials,WAB,,,,,,,,
Consumer Staples,WBA,,,,,,,,
Consumer Staples,WMT,,,,,,,,
Communication Services,DIS,,,,,,,,
Communication Services,WBD,,,,,,,,
Industrials,WM,,,,,,,,
Health Care,WAT,,,,,,,,
Utilities,WEC,,,,,,,,
Financials,WFC,,,,,,,,
Real Estate,WELL,,,,,,,,
Health Care,WST,,,,,,,,
Information Technology,WDC,,,,,,,,
Materials,WRK,,,,,,,,
Real Estate,WY,,,,,,,,
Energy,WMB,,,,,,,,
Financials,WTW,,,,,,,,
Industrials,GWW,,,,,,,,
Consumer Discretionary,WYNN,,,,,,,,
Utilities,XEL,,,,,,,,
Industrials,XYL,,,,,,,,
Consumer Discretionary,YUM,,,,,,,,
Information Technology,ZBRA,,,,,,,,
Health Care,ZBH,,,,,,,,
Health Care,ZTS,,,,,,,,
